form	lemma	POS	morph
Libre		N	
dels		P+D	
feyts		N	
del		P+D	
Rey		N	
en		DPR	
Jacme		NPR	
FOL1r		FOL	
§		§	
Retrau		VBPI^3^SG	
mon		D^POS	
seyor		N	
sent		ADJ	
Jacme		NPR	
que		C	
fe		N	
sens		P	
obres		N	
morta		VNI	
és		VBPI^3^SG	
.		.	
Aquesta		D^DEM	
paraula		N	
volch		VBPI^3^SG	
Nostre		D^POS	
Seyor		N	
complir		VB	
en		P	
los		D	
nostres		D^POS	
feytz		N	
.		.	
E		CONJ	
jassia		C	
que		C	
la		D	
fe		N	
senes		P	
les		D	
obres		N	
no		NEG	
vayla		VBPS^3^SG	
re		PRO^Q	
,		COMMA	
can		C	
abdues		D^Q	
són		VBPI^3^PL	
ajustades		VNI	
,		COMMA	
fan		VBPI^3^PL	
fruyt		N	
,		COMMA	
lo		D	
qual		WADJ	
Déu		N	
vol		VBPI^3^SG	
reebre		VB	
en		P	
la		D	
sua		D^POS	
mansió		N	
.		.	
E		CONJ	
ja		ADV	
fos		VBDS^3^SG	
açò		PRO^3^SG	
que		C	
·l		D	
començament		N	
de		P	
la		D	
nostra		D^POS	
naxença		N	
fos		VBDS^3^SG	
bo		ADJ	
,		COMMA	
en		P	
les		D	
obres		N	
nostres		D^POS	
havia		VBDI^3^SG	
mester		N	
mellorament		ADV	
,		COMMA	
no		NEG	
per		P	
tal		ADV	
que		C	
la		D	
fe		N	
no		NEG	
fos		VBDS^3^SG	
en		P	
nós		PRO^1^PL	
de		P	
creure		VB	
nostre		D^POS	
Creador		N	
en		P	
les		D	
sues		D^POS	
obres		N	
,		COMMA	
e		CONJ	
a		P	
la		D	
sua		D^POS	
mare		N	
pregar		VB	
que		C	
pregàs		VBPS^3^SG	
per		P	
nós		PRO^1^PL	
al		P+D	
seu		D^POS	
car		ADJ	
Fiyl		N	
que		C	
·ns		PRO^D^1^PL	
perdonàs		VBPS^3^SG	
lo		D	
tort		N	
que		C	
li		PRO^D^3^SG	
teníem		VBDI^1^PL	
.		.	
On		ADV	
,		COMMA	
de		P	
la		D	
fe		N	
que		C	
nós		PRO^1^PL	
havíem		VBDI^1^PL	
nos		PRO^D^1^PL	
aduyx		VBDI^3^SG	
a		P	
la		D	
vera		ADJ	
salut		N	
.		.	
E		CONJ	
quan		C	
Nostre		D^POS	
Seyor		N	
Jhesuchrist		NPR	
,		COMMA	
que		C	
sab		VBPI^3^SG	
totes		D^Q	
coses		N	
,		COMMA	
sabia		VBDI^3^SG	
que		C	
la		D	
nostra		D^POS	
vida		N	
s’		PRO^RFL^3^SG	
alongaria		VBPC^3^SG	
tant		ADV	
,		COMMA	
que		C	
faríem		VBPC^1^PL	
ajustament		N	
de		P	
bones		ADJ	
obres		N	
ab		P	
la		D	
fe		N	
que		C	
nós		PRO^1^PL	
havíem		VBDI^1^PL	
,		COMMA	
feÿa		VBDI^3^SG	
·ns		PRO^D^1^PL	
tanta		D^Q	
de		P	
gràcia		N	
e		CONJ	
de		P	
merçè		N	
,		COMMA	
que		C	
per		P	
peccadors		N	
que		C	
nós		PRO^1^PL	
fóssem		VBDS^1^PL	
de		P	
peccats		N	
mortals		ADJ	
ni		CONJ+NEG	
de		P	
venials		ADJ	
,		COMMA	
no		NEG	
volch		VBDI^3^SG	
que		C	
nós		PRO^1^PL	
preséssem		VBDS^1^PL	
onta		N	
ne		CONJ+NEG	
dan		N	
que		C	
vergonya		N	
·n		PRO^ADV	
poguéssem		VBDS^1^PL	
aver		VB	
en		P	
cort		N	
ne		CONJ+NEG	
en		P	
altre		D^Q	
loch		N	
,		COMMA	
no		NEG	
volch		VBDI^3^SG	
encara		ADV	
que		C	
moríssem		VBDI^1^PL	
tro		P	
açò		PRO^3^SG	
haguéssem		VBDS^1^PL	
complit		VNI	
.		.	
és		VBPI^3^SG	
tanta		D^Q	
la		D	
merçè		N	
que		C	
él		PRO^3^SG	
nos		PRO^D^1^PL	
feÿa		VBDI^3^SG	
,		COMMA	
que		C	
tota		D^Q	
hora		N	
·ns		PRO^D^1^PL	
feÿa		VBDI^3^SG	
honrar		VB	
de		P	
nostres		D^POS	
enamichs		N	
,		COMMA	
de		P	
feyt		N	
e		CONJ	
de		P	
paraula		N	
,		COMMA	
e		CONJ	
·ns		PRO^D^1^PL	
donà		VBPI^3^SG	
en		P	
nostra		D^POS	
vida		N	
salut		N	
en		P	
nostra		D^POS	
pressona		N	
.		.	
E		CONJ	
,		COMMA	
si		C	
algunes		D^Q	
vegades		N	
nos		PRO^D^1^PL	
dava		VBDI^3^SG	
malauties		N	
,		COMMA	
fehya		VBDI^3^SG	
-ho		PRO^A^NTR	
en		P	
manera		N	
de		P	
castigament		N	
,		COMMA	
en		P	
semblança		N	
de		P	
pare		N	
que		C	
castiga		VBPI^3^SG	
son		D^POS	
fiyl		N	
.		.	
Car		C	
diu		VBPI^3^SG	
Salamó		NPR	
que		C	
qui		C	
perdone		VBPS^3^SG	
a		P	
son		D^POS	
fiyl		N	
les		D	
vergues		N	
de		P	
castigament		N	
,		COMMA	
que		C	
mal		N	
li		PRO^D^3^SG	
fa		VBPI^3^SG	
,		COMMA	
e		CONJ	
no		NEG	
sembla		VBPI^3^SG	
que		C	
li		PRO^D^3^SG	
vuyla		VBPS^3^PL	
bé		ADV	
.		.	
E		CONJ	
anch		ADV	
Nostre		D^POS	
Seyor		N	
no		NEG	
·ns		PRO^A^1^PL	
castigà		VBDI^3^SG	
tan		ADV	
fort		ADV	
que		C	
a		P	
nós		PRO^1^PL	
tengués		VBDS^3^SG	
don		N	
.		.	
On		ADV	
li		PRO^D^3^SG	
grahíem		VBDI^1^PL	
,		COMMA	
la		D	
hora		N	
quan		C	
nos		PRO^A^1^PL	
castigava		VBDI^3^SG	
,		COMMA	
lo		D	
castigament		N	
que		C	
