Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 2.3406, 'grad_norm': 11.268143653869629, 'learning_rate': 0.0001993814432989691, 'epoch': 0.03}
{'loss': 1.3953, 'grad_norm': 10.502767562866211, 'learning_rate': 0.0001986941580756014, 'epoch': 0.07}
{'loss': 1.0199, 'grad_norm': 7.285794734954834, 'learning_rate': 0.0001980068728522337, 'epoch': 0.1}
{'loss': 0.9637, 'grad_norm': 8.063727378845215, 'learning_rate': 0.000197319587628866, 'epoch': 0.14}
{'loss': 0.8355, 'grad_norm': 7.637637615203857, 'learning_rate': 0.0001966323024054983, 'epoch': 0.17}
{'loss': 0.5896, 'grad_norm': 4.310704231262207, 'learning_rate': 0.00019594501718213058, 'epoch': 0.21}
{'loss': 0.5979, 'grad_norm': 5.395454406738281, 'learning_rate': 0.0001952577319587629, 'epoch': 0.24}
{'loss': 0.5174, 'grad_norm': 4.469377517700195, 'learning_rate': 0.0001945704467353952, 'epoch': 0.27}
{'loss': 0.583, 'grad_norm': 5.2198309898376465, 'learning_rate': 0.0001938831615120275, 'epoch': 0.31}
{'loss': 0.5973, 'grad_norm': 4.590744495391846, 'learning_rate': 0.0001931958762886598, 'epoch': 0.34}
{'loss': 0.5512, 'grad_norm': 3.592425584793091, 'learning_rate': 0.00019250859106529212, 'epoch': 0.38}
{'loss': 0.451, 'grad_norm': 3.6204617023468018, 'learning_rate': 0.0001918213058419244, 'epoch': 0.41}
{'loss': 0.5912, 'grad_norm': 5.011765956878662, 'learning_rate': 0.00019113402061855672, 'epoch': 0.45}
{'loss': 0.4162, 'grad_norm': 4.37962007522583, 'learning_rate': 0.000190446735395189, 'epoch': 0.48}
{'loss': 0.5154, 'grad_norm': 3.552234411239624, 'learning_rate': 0.0001897594501718213, 'epoch': 0.52}
{'loss': 0.5125, 'grad_norm': 3.2853102684020996, 'learning_rate': 0.0001890721649484536, 'epoch': 0.55}
{'loss': 0.442, 'grad_norm': 6.295888900756836, 'learning_rate': 0.00018838487972508593, 'epoch': 0.58}
{'loss': 0.36, 'grad_norm': 3.2570395469665527, 'learning_rate': 0.00018769759450171821, 'epoch': 0.62}
{'loss': 0.3495, 'grad_norm': 3.426541328430176, 'learning_rate': 0.00018701030927835053, 'epoch': 0.65}
{'loss': 0.4293, 'grad_norm': 3.4310107231140137, 'learning_rate': 0.00018632302405498284, 'epoch': 0.69}
{'loss': 0.4688, 'grad_norm': 2.5440969467163086, 'learning_rate': 0.00018563573883161513, 'epoch': 0.72}
{'loss': 0.4584, 'grad_norm': 4.412785053253174, 'learning_rate': 0.00018494845360824745, 'epoch': 0.76}
{'loss': 0.3895, 'grad_norm': 4.055389881134033, 'learning_rate': 0.00018426116838487973, 'epoch': 0.79}
{'loss': 0.3442, 'grad_norm': 3.8005666732788086, 'learning_rate': 0.00018357388316151202, 'epoch': 0.82}
{'loss': 0.4588, 'grad_norm': 4.7357683181762695, 'learning_rate': 0.00018288659793814433, 'epoch': 0.86}
{'loss': 0.417, 'grad_norm': 3.9373390674591064, 'learning_rate': 0.00018219931271477665, 'epoch': 0.89}
{'loss': 0.3199, 'grad_norm': 2.145688772201538, 'learning_rate': 0.00018151202749140894, 'epoch': 0.93}
{'loss': 0.4243, 'grad_norm': 3.8142313957214355, 'learning_rate': 0.00018082474226804125, 'epoch': 0.96}
{'loss': 0.4201, 'grad_norm': 4.1045427322387695, 'learning_rate': 0.00018013745704467356, 'epoch': 1.0}
{'eval_loss': 0.3731023371219635, 'eval_accuracy': 0.8825594769659181, 'eval_precision': 0.8313229012555792, 'eval_recall': 0.7874658356435748, 'eval_f1': 0.7817150623903286, 'eval_mean_confidence': 0.8871769309043884, 'eval_mean_uncertainty': 0.3589419424533844, 'eval_mean_confidence_gap': 0.8217077255249023, 'eval_runtime': 18.8796, 'eval_samples_per_second': 30.774, 'eval_steps_per_second': 3.867, 'epoch': 1.0}
{'loss': 0.3833, 'grad_norm': 4.647242069244385, 'learning_rate': 0.00017945017182130585, 'epoch': 1.03}
{'loss': 0.3396, 'grad_norm': 2.57297682762146, 'learning_rate': 0.00017876288659793817, 'epoch': 1.07}
{'loss': 0.3277, 'grad_norm': 4.151164531707764, 'learning_rate': 0.00017807560137457045, 'epoch': 1.1}
{'loss': 0.3574, 'grad_norm': 3.6213691234588623, 'learning_rate': 0.00017738831615120274, 'epoch': 1.13}
{'loss': 0.3292, 'grad_norm': 3.280808448791504, 'learning_rate': 0.00017670103092783506, 'epoch': 1.17}
{'loss': 0.3251, 'grad_norm': 3.8710570335388184, 'learning_rate': 0.00017601374570446737, 'epoch': 1.2}
{'loss': 0.3191, 'grad_norm': 3.3263134956359863, 'learning_rate': 0.00017532646048109966, 'epoch': 1.24}
{'loss': 0.3682, 'grad_norm': 4.032449245452881, 'learning_rate': 0.00017463917525773197, 'epoch': 1.27}
{'loss': 0.3859, 'grad_norm': 4.401514053344727, 'learning_rate': 0.00017395189003436429, 'epoch': 1.31}
{'loss': 0.286, 'grad_norm': 3.8574283123016357, 'learning_rate': 0.00017326460481099657, 'epoch': 1.34}
{'loss': 0.3226, 'grad_norm': 2.994777202606201, 'learning_rate': 0.0001725773195876289, 'epoch': 1.37}
{'loss': 0.2975, 'grad_norm': 1.7756890058517456, 'learning_rate': 0.00017189003436426117, 'epoch': 1.41}
{'loss': 0.3742, 'grad_norm': 3.1653826236724854, 'learning_rate': 0.00017120274914089346, 'epoch': 1.44}
{'loss': 0.2644, 'grad_norm': 2.889468193054199, 'learning_rate': 0.00017051546391752578, 'epoch': 1.48}
{'loss': 0.2979, 'grad_norm': 2.8443126678466797, 'learning_rate': 0.0001698281786941581, 'epoch': 1.51}
{'loss': 0.3381, 'grad_norm': 3.7374002933502197, 'learning_rate': 0.00016914089347079038, 'epoch': 1.55}
{'loss': 0.2628, 'grad_norm': 3.913963794708252, 'learning_rate': 0.0001684536082474227, 'epoch': 1.58}
{'loss': 0.3542, 'grad_norm': 2.7569735050201416, 'learning_rate': 0.000167766323024055, 'epoch': 1.62}
{'loss': 0.3649, 'grad_norm': 4.0025434494018555, 'learning_rate': 0.0001670790378006873, 'epoch': 1.65}
{'loss': 0.3134, 'grad_norm': 4.494343280792236, 'learning_rate': 0.0001663917525773196, 'epoch': 1.68}
{'loss': 0.2794, 'grad_norm': 4.239184856414795, 'learning_rate': 0.0001657044673539519, 'epoch': 1.72}
{'loss': 0.2608, 'grad_norm': 3.916726589202881, 'learning_rate': 0.00016501718213058418, 'epoch': 1.75}
{'loss': 0.2675, 'grad_norm': 3.4679954051971436, 'learning_rate': 0.0001643298969072165, 'epoch': 1.79}
{'loss': 0.3249, 'grad_norm': 2.12467622756958, 'learning_rate': 0.0001636426116838488, 'epoch': 1.82}
{'loss': 0.2896, 'grad_norm': 2.3361852169036865, 'learning_rate': 0.0001629553264604811, 'epoch': 1.86}
{'loss': 0.3276, 'grad_norm': 3.366558313369751, 'learning_rate': 0.00016226804123711341, 'epoch': 1.89}
{'loss': 0.2928, 'grad_norm': 2.336155414581299, 'learning_rate': 0.00016158075601374573, 'epoch': 1.92}
{'loss': 0.3484, 'grad_norm': 2.0870840549468994, 'learning_rate': 0.00016089347079037802, 'epoch': 1.96}
{'loss': 0.3131, 'grad_norm': 4.886819839477539, 'learning_rate': 0.00016020618556701033, 'epoch': 1.99}
{'eval_loss': 0.3268677294254303, 'eval_accuracy': 0.8935165566922937, 'eval_precision': 0.8267378532707521, 'eval_recall': 0.7849869063761109, 'eval_f1': 0.7998314571556069, 'eval_mean_confidence': 0.9173097014427185, 'eval_mean_uncertainty': 0.25235939025878906, 'eval_mean_confidence_gap': 0.8620120286941528, 'eval_runtime': 12.9156, 'eval_samples_per_second': 44.984, 'eval_steps_per_second': 5.652, 'epoch': 2.0}
{'loss': 0.2094, 'grad_norm': 3.2316789627075195, 'learning_rate': 0.00015951890034364262, 'epoch': 2.03}
