Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 2.2914, 'grad_norm': 12.745508193969727, 'learning_rate': 0.0001993814432989691, 'epoch': 0.03}
{'loss': 1.2734, 'grad_norm': 5.922441482543945, 'learning_rate': 0.0001986941580756014, 'epoch': 0.07}
{'loss': 1.0578, 'grad_norm': 7.247809410095215, 'learning_rate': 0.0001980068728522337, 'epoch': 0.1}
{'loss': 0.7693, 'grad_norm': 6.048004150390625, 'learning_rate': 0.000197319587628866, 'epoch': 0.14}
{'loss': 0.6258, 'grad_norm': 5.839112281799316, 'learning_rate': 0.0001966323024054983, 'epoch': 0.17}
{'loss': 0.5959, 'grad_norm': 10.101996421813965, 'learning_rate': 0.00019594501718213058, 'epoch': 0.21}
{'loss': 0.598, 'grad_norm': 4.456878662109375, 'learning_rate': 0.0001952577319587629, 'epoch': 0.24}
{'loss': 0.533, 'grad_norm': 6.809554100036621, 'learning_rate': 0.0001945704467353952, 'epoch': 0.27}
{'loss': 0.576, 'grad_norm': 4.622368335723877, 'learning_rate': 0.0001938831615120275, 'epoch': 0.31}
{'loss': 0.4811, 'grad_norm': 3.9758031368255615, 'learning_rate': 0.0001931958762886598, 'epoch': 0.34}
{'loss': 0.4826, 'grad_norm': 2.9147226810455322, 'learning_rate': 0.00019250859106529212, 'epoch': 0.38}
{'loss': 0.5025, 'grad_norm': 4.952226161956787, 'learning_rate': 0.0001918213058419244, 'epoch': 0.41}
{'loss': 0.4308, 'grad_norm': 3.702563762664795, 'learning_rate': 0.00019113402061855672, 'epoch': 0.45}
{'loss': 0.475, 'grad_norm': 3.7748396396636963, 'learning_rate': 0.000190446735395189, 'epoch': 0.48}
{'loss': 0.4478, 'grad_norm': 4.571465492248535, 'learning_rate': 0.0001897594501718213, 'epoch': 0.52}
{'loss': 0.5248, 'grad_norm': 3.2142770290374756, 'learning_rate': 0.0001890721649484536, 'epoch': 0.55}
{'loss': 0.4107, 'grad_norm': 3.6659374237060547, 'learning_rate': 0.00018838487972508593, 'epoch': 0.58}
{'loss': 0.4953, 'grad_norm': 3.8266100883483887, 'learning_rate': 0.00018769759450171821, 'epoch': 0.62}
{'loss': 0.4869, 'grad_norm': 3.5973339080810547, 'learning_rate': 0.00018701030927835053, 'epoch': 0.65}
{'loss': 0.3877, 'grad_norm': 4.817775249481201, 'learning_rate': 0.00018632302405498284, 'epoch': 0.69}
{'loss': 0.4167, 'grad_norm': 4.976966857910156, 'learning_rate': 0.00018563573883161513, 'epoch': 0.72}
{'loss': 0.4494, 'grad_norm': 3.9028573036193848, 'learning_rate': 0.00018494845360824745, 'epoch': 0.76}
{'loss': 0.452, 'grad_norm': 3.801365852355957, 'learning_rate': 0.00018426116838487973, 'epoch': 0.79}
{'loss': 0.4572, 'grad_norm': 3.0429468154907227, 'learning_rate': 0.00018357388316151202, 'epoch': 0.82}
{'loss': 0.4355, 'grad_norm': 3.702091932296753, 'learning_rate': 0.00018288659793814433, 'epoch': 0.86}
{'loss': 0.4014, 'grad_norm': 3.721635103225708, 'learning_rate': 0.00018219931271477665, 'epoch': 0.89}
{'loss': 0.4242, 'grad_norm': 4.681555271148682, 'learning_rate': 0.00018151202749140894, 'epoch': 0.93}
{'loss': 0.4066, 'grad_norm': 2.733365058898926, 'learning_rate': 0.00018082474226804125, 'epoch': 0.96}
