Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 2.3914, 'grad_norm': 7.680947303771973, 'learning_rate': 0.0001993814432989691, 'epoch': 0.03}
{'loss': 1.3945, 'grad_norm': 8.135480880737305, 'learning_rate': 0.0001986941580756014, 'epoch': 0.07}
{'loss': 1.0316, 'grad_norm': 6.828430652618408, 'learning_rate': 0.0001980068728522337, 'epoch': 0.1}
{'loss': 0.9445, 'grad_norm': 6.882597923278809, 'learning_rate': 0.000197319587628866, 'epoch': 0.14}
{'loss': 0.7937, 'grad_norm': 3.9228503704071045, 'learning_rate': 0.0001966323024054983, 'epoch': 0.17}
{'loss': 0.6039, 'grad_norm': 7.341033458709717, 'learning_rate': 0.00019594501718213058, 'epoch': 0.21}
{'loss': 0.6402, 'grad_norm': 7.134687900543213, 'learning_rate': 0.0001952577319587629, 'epoch': 0.24}
{'loss': 0.5631, 'grad_norm': 3.850616693496704, 'learning_rate': 0.0001945704467353952, 'epoch': 0.27}
{'loss': 0.5762, 'grad_norm': 5.959956169128418, 'learning_rate': 0.0001938831615120275, 'epoch': 0.31}
{'loss': 0.6461, 'grad_norm': 4.221705913543701, 'learning_rate': 0.0001931958762886598, 'epoch': 0.34}
{'loss': 0.5555, 'grad_norm': 3.9994421005249023, 'learning_rate': 0.00019250859106529212, 'epoch': 0.38}
{'loss': 0.4881, 'grad_norm': 4.297184944152832, 'learning_rate': 0.0001918213058419244, 'epoch': 0.41}
{'loss': 0.5713, 'grad_norm': 4.277591228485107, 'learning_rate': 0.00019113402061855672, 'epoch': 0.45}
{'loss': 0.4957, 'grad_norm': 5.245357513427734, 'learning_rate': 0.000190446735395189, 'epoch': 0.48}
{'loss': 0.5131, 'grad_norm': 3.59793758392334, 'learning_rate': 0.0001897594501718213, 'epoch': 0.52}
{'loss': 0.4645, 'grad_norm': 3.3506369590759277, 'learning_rate': 0.0001890721649484536, 'epoch': 0.55}
{'loss': 0.4326, 'grad_norm': 6.775378704071045, 'learning_rate': 0.00018838487972508593, 'epoch': 0.58}
{'loss': 0.4521, 'grad_norm': 4.639798164367676, 'learning_rate': 0.00018769759450171821, 'epoch': 0.62}
{'loss': 0.3684, 'grad_norm': 6.003824710845947, 'learning_rate': 0.00018701030927835053, 'epoch': 0.65}
{'loss': 0.4527, 'grad_norm': 4.029356956481934, 'learning_rate': 0.00018632302405498284, 'epoch': 0.69}
{'loss': 0.4969, 'grad_norm': 3.2454800605773926, 'learning_rate': 0.00018563573883161513, 'epoch': 0.72}
{'loss': 0.4918, 'grad_norm': 3.493098497390747, 'learning_rate': 0.00018494845360824745, 'epoch': 0.76}
{'loss': 0.342, 'grad_norm': 3.5136170387268066, 'learning_rate': 0.00018426116838487973, 'epoch': 0.79}
{'loss': 0.3728, 'grad_norm': 4.273478031158447, 'learning_rate': 0.00018357388316151202, 'epoch': 0.82}
{'loss': 0.4481, 'grad_norm': 3.633901596069336, 'learning_rate': 0.00018288659793814433, 'epoch': 0.86}
{'loss': 0.4314, 'grad_norm': 4.892878532409668, 'learning_rate': 0.00018219931271477665, 'epoch': 0.89}
{'loss': 0.3947, 'grad_norm': 3.3594045639038086, 'learning_rate': 0.00018151202749140894, 'epoch': 0.93}
{'loss': 0.4084, 'grad_norm': 2.523852825164795, 'learning_rate': 0.00018082474226804125, 'epoch': 0.96}
{'loss': 0.4093, 'grad_norm': 2.7108750343322754, 'learning_rate': 0.00018013745704467356, 'epoch': 1.0}
{'eval_loss': 0.3700936436653137, 'eval_accuracy': 0.8732122770367989, 'eval_precision': 0.8259102488254424, 'eval_recall': 0.7439136721705625, 'eval_f1': 0.7543734820652997, 'eval_mean_confidence': 0.8828459978103638, 'eval_mean_uncertainty': 0.3596356511116028, 'eval_mean_confidence_gap': 0.8099300265312195, 'eval_runtime': 34.7019, 'eval_samples_per_second': 16.743, 'eval_steps_per_second': 2.104, 'epoch': 1.0}
{'loss': 0.383, 'grad_norm': 2.4028642177581787, 'learning_rate': 0.00017945017182130585, 'epoch': 1.03}
{'loss': 0.3459, 'grad_norm': 2.9339754581451416, 'learning_rate': 0.00017876288659793817, 'epoch': 1.07}
{'loss': 0.3139, 'grad_norm': 3.3646368980407715, 'learning_rate': 0.00017807560137457045, 'epoch': 1.1}
{'loss': 0.3984, 'grad_norm': 2.8161494731903076, 'learning_rate': 0.00017738831615120274, 'epoch': 1.13}
{'loss': 0.3845, 'grad_norm': 1.8064569234848022, 'learning_rate': 0.00017670103092783506, 'epoch': 1.17}
{'loss': 0.3601, 'grad_norm': 3.70487117767334, 'learning_rate': 0.00017601374570446737, 'epoch': 1.2}
{'loss': 0.3291, 'grad_norm': 3.720580816268921, 'learning_rate': 0.00017532646048109966, 'epoch': 1.24}
{'loss': 0.3707, 'grad_norm': 4.1563920974731445, 'learning_rate': 0.00017463917525773197, 'epoch': 1.27}
{'loss': 0.4197, 'grad_norm': 5.181318283081055, 'learning_rate': 0.00017395189003436429, 'epoch': 1.31}
{'loss': 0.2938, 'grad_norm': 3.071568489074707, 'learning_rate': 0.00017326460481099657, 'epoch': 1.34}
{'loss': 0.3396, 'grad_norm': 3.318882465362549, 'learning_rate': 0.0001725773195876289, 'epoch': 1.37}
{'loss': 0.3273, 'grad_norm': 2.144653081893921, 'learning_rate': 0.00017189003436426117, 'epoch': 1.41}
{'loss': 0.422, 'grad_norm': 2.8111815452575684, 'learning_rate': 0.00017120274914089346, 'epoch': 1.44}
{'loss': 0.3514, 'grad_norm': 3.2473268508911133, 'learning_rate': 0.00017051546391752578, 'epoch': 1.48}
{'loss': 0.3438, 'grad_norm': 4.517991065979004, 'learning_rate': 0.0001698281786941581, 'epoch': 1.51}
{'loss': 0.347, 'grad_norm': 4.047019004821777, 'learning_rate': 0.00016914089347079038, 'epoch': 1.55}
{'loss': 0.2964, 'grad_norm': 3.441108226776123, 'learning_rate': 0.0001684536082474227, 'epoch': 1.58}
{'loss': 0.3897, 'grad_norm': 4.665538787841797, 'learning_rate': 0.000167766323024055, 'epoch': 1.62}
{'loss': 0.338, 'grad_norm': 3.212906837463379, 'learning_rate': 0.0001670790378006873, 'epoch': 1.65}
{'loss': 0.3214, 'grad_norm': 3.352092742919922, 'learning_rate': 0.0001663917525773196, 'epoch': 1.68}
{'loss': 0.3067, 'grad_norm': 3.5692176818847656, 'learning_rate': 0.0001657044673539519, 'epoch': 1.72}
{'loss': 0.3012, 'grad_norm': 3.768383502960205, 'learning_rate': 0.00016501718213058418, 'epoch': 1.75}
{'loss': 0.2791, 'grad_norm': 1.9578129053115845, 'learning_rate': 0.0001643298969072165, 'epoch': 1.79}
{'loss': 0.3379, 'grad_norm': 2.123056650161743, 'learning_rate': 0.0001636426116838488, 'epoch': 1.82}
{'loss': 0.2775, 'grad_norm': 3.1696178913116455, 'learning_rate': 0.0001629553264604811, 'epoch': 1.86}
{'loss': 0.3297, 'grad_norm': 4.145585060119629, 'learning_rate': 0.00016226804123711341, 'epoch': 1.89}
{'loss': 0.3407, 'grad_norm': 4.252446174621582, 'learning_rate': 0.00016158075601374573, 'epoch': 1.92}
{'loss': 0.3657, 'grad_norm': 2.718564033508301, 'learning_rate': 0.00016089347079037802, 'epoch': 1.96}
{'loss': 0.3371, 'grad_norm': 4.272843837738037, 'learning_rate': 0.00016020618556701033, 'epoch': 1.99}
{'eval_loss': 0.3361005485057831, 'eval_accuracy': 0.8866034602817505, 'eval_precision': 0.8457921427869275, 'eval_recall': 0.7953214654704783, 'eval_f1': 0.8150202480593335, 'eval_mean_confidence': 0.9060418009757996, 'eval_mean_uncertainty': 0.2856892943382263, 'eval_mean_confidence_gap': 0.8437895178794861, 'eval_runtime': 36.2127, 'eval_samples_per_second': 16.044, 'eval_steps_per_second': 2.016, 'epoch': 2.0}
{'loss': 0.2381, 'grad_norm': 2.571474313735962, 'learning_rate': 0.00015951890034364262, 'epoch': 2.03}
{'loss': 0.2408, 'grad_norm': 2.3237905502319336, 'learning_rate': 0.0001588316151202749, 'epoch': 2.06}
{'loss': 0.1767, 'grad_norm': 3.1037979125976562, 'learning_rate': 0.00015814432989690722, 'epoch': 2.1}
