Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 2.325, 'grad_norm': 7.847934722900391, 'learning_rate': 0.0001993814432989691, 'epoch': 0.03}
{'loss': 1.375, 'grad_norm': 5.777982711791992, 'learning_rate': 0.0001986941580756014, 'epoch': 0.07}
{'loss': 1.0664, 'grad_norm': 11.798203468322754, 'learning_rate': 0.0001980068728522337, 'epoch': 0.1}
{'loss': 0.823, 'grad_norm': 5.872737884521484, 'learning_rate': 0.000197319587628866, 'epoch': 0.14}
{'loss': 0.8025, 'grad_norm': 6.66033935546875, 'learning_rate': 0.0001966323024054983, 'epoch': 0.17}
{'loss': 0.6785, 'grad_norm': 5.718062400817871, 'learning_rate': 0.00019594501718213058, 'epoch': 0.21}
{'loss': 0.6094, 'grad_norm': 4.032652854919434, 'learning_rate': 0.0001952577319587629, 'epoch': 0.24}
{'loss': 0.585, 'grad_norm': 4.653473377227783, 'learning_rate': 0.0001945704467353952, 'epoch': 0.27}
{'loss': 0.5135, 'grad_norm': 4.845771312713623, 'learning_rate': 0.0001938831615120275, 'epoch': 0.31}
{'loss': 0.5719, 'grad_norm': 5.9087958335876465, 'learning_rate': 0.0001931958762886598, 'epoch': 0.34}
{'loss': 0.5389, 'grad_norm': 3.3439431190490723, 'learning_rate': 0.00019250859106529212, 'epoch': 0.38}
{'loss': 0.5005, 'grad_norm': 2.825212240219116, 'learning_rate': 0.0001918213058419244, 'epoch': 0.41}
{'loss': 0.5656, 'grad_norm': 4.537505626678467, 'learning_rate': 0.00019113402061855672, 'epoch': 0.45}
{'loss': 0.4748, 'grad_norm': 5.53726053237915, 'learning_rate': 0.000190446735395189, 'epoch': 0.48}
{'loss': 0.515, 'grad_norm': 3.6017119884490967, 'learning_rate': 0.0001897594501718213, 'epoch': 0.52}
{'loss': 0.4066, 'grad_norm': 3.4920594692230225, 'learning_rate': 0.0001890721649484536, 'epoch': 0.55}
{'loss': 0.4713, 'grad_norm': 5.7144293785095215, 'learning_rate': 0.00018838487972508593, 'epoch': 0.58}
{'loss': 0.4377, 'grad_norm': 4.739342212677002, 'learning_rate': 0.00018769759450171821, 'epoch': 0.62}
{'loss': 0.3307, 'grad_norm': 6.244983196258545, 'learning_rate': 0.00018701030927835053, 'epoch': 0.65}
{'loss': 0.4239, 'grad_norm': 2.5308845043182373, 'learning_rate': 0.00018632302405498284, 'epoch': 0.69}
{'loss': 0.4584, 'grad_norm': 3.4742839336395264, 'learning_rate': 0.00018563573883161513, 'epoch': 0.72}
{'loss': 0.4359, 'grad_norm': 3.126802921295166, 'learning_rate': 0.00018494845360824745, 'epoch': 0.76}
{'loss': 0.4095, 'grad_norm': 3.959108591079712, 'learning_rate': 0.00018426116838487973, 'epoch': 0.79}
{'loss': 0.4238, 'grad_norm': 5.149635314941406, 'learning_rate': 0.00018357388316151202, 'epoch': 0.82}
{'loss': 0.3884, 'grad_norm': 3.18222975730896, 'learning_rate': 0.00018288659793814433, 'epoch': 0.86}
{'loss': 0.4596, 'grad_norm': 4.0501227378845215, 'learning_rate': 0.00018219931271477665, 'epoch': 0.89}
{'loss': 0.4545, 'grad_norm': 2.8454039096832275, 'learning_rate': 0.00018151202749140894, 'epoch': 0.93}
{'loss': 0.4668, 'grad_norm': 2.9286811351776123, 'learning_rate': 0.00018082474226804125, 'epoch': 0.96}
